ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default.payment.next.month
1,150000,1,3,1,25,0,2,5,0,0,0,44809,6409,24507,13667,35777,27596,106896,4601,25506,5148,33568,2125,0
2,50000,2,4,2,26,1,-1,2,0,0,5,7499,10168,59907,5729,26886,337,32871,13127,20908,145,93497,1579,0
3,200000,1,1,2,32,1,0,0,-1,2,4,96733,7231,4561,2741,77956,10932,57445,4848,5519,11688,31598,11249,0
4,80000,2,2,1,59,0,0,0,-1,0,0,42300,2196,13485,9772,11977,106,96751,12942,28353,801,41584,599,1
5,150000,2,2,1,72,-1,-2,-1,1,0,0,92158,10708,107880,23525,94233,1093,57660,2721,18265,14305,101088,413,0
6,30000,1,1,2,63,1,5,0,1,3,0,138401,3559,6567,540,1121,6309,175636,10718,11926,549,73670,1350,0
7,150000,2,2,1,69,3,0,2,0,-1,4,35655,4426,22729,25654,13894,5836,53928,6186,51107,610,73552,4172,1
8,200000,1,3,3,32,0,7,2,1,0,0,12937,15182,54562,363,7913,8604,39723,481,20901,10567,136993,1362,0
9,80000,2,1,2,28,0,0,2,0,1,0,67527,9213,25078,1527,58753,3700,28714,1408,37035,2352,14035,2679,0
10,50000,2,3,1,65,0,6,0,0,1,-1,65871,910,6413,1697,45731,84,182549,1032,37258,6717,40278,9873,0
11,200000,1,1,2,38,0,1,0,1,4,0,45469,650,579,16307,13543,3409,54158,3340,8660,9637,65481,22918,0
12,200000,2,2,2,71,-1,0,1,0,0,1,72902,6117,44326,2991,22754,7288,12418,1809,5652,12022,105655,1807,0
13,30000,1,1,1,38,1,2,-1,0,0,2,71711,11992,98929,1609,20087,5700,124566,5511,4270,3092,46753,778,0
14,100000,2,2,2,30,-1,0,0,1,-1,4,723,1986,25659,8869,1344,709,46439,2808,85126,25571,115262,6723,0
15,80000,1,1,2,26,-1,2,1,0,-2,3,72125,2018,23085,16741,247086,15072,27055,1438,37704,1215,72191,183,0
16,20000,2,1,2,25,0,0,0,2,0,2,15933,1903,26131,3217,34313,15920,15886,5330,6662,4103,5291,2606,1
17,200000,2,2,0,65,2,0,-1,-2,-2,1,6729,7779,119696,7848,9634,9089,4910,25171,73731,1370,4653,3826,1
18,100000,1,1,2,43,2,1,1,0,0,3,47838,6857,15671,937,7528,25264,25008,28697,1175,538,80621,30528,1
19,20000,2,2,3,45,0,2,0,2,0,2,30860,1474,27978,12551,5093,1248,40076,5926,36187,5045,74788,11246,1
20,80000,1,1,2,27,0,-2,4,3,0,-1,77254,234,21040,11236,12305,1601,74069,4616,28273,1330,86743,7605,1
21,10000,1,1,1,63,-1,0,0,1,0,0,60575,2231,3711,3768,925,8328,47877,9454,143580,16458,30666,8837,0
22,100000,2,2,1,65,8,-1,7,3,0,2,66446,6566,15684,6996,22876,2103,66611,2754,7148,7470,12980,18886,1
23,300000,1,1,1,25,1,4,3,-1,0,0,96481,10394,533,3916,9612,3257,12549,13372,6680,4562,69830,3618,0
24,10000,1,2,1,51,0,6,1,1,0,0,102037,10761,118694,4238,25819,4165,56918,2060,13862,18631,8386,1242,0
25,30000,1,2,2,39,3,3,0,1,0,-2,3515,161,67675,1949,33418,2794,35591,12213,54678,722,41442,2618,0
26,150000,1,3,1,71,0,0,1,2,0,3,83966,15455,87274,2665,18113,891,4638,5873,86947,1207,13322,2179,0
27,50000,1,1,1,56,0,2,-1,0,0,0,23641,2777,17232,5582,47826,5681,10897,1302,204645,362,85811,8715,0
28,300000,1,2,2,64,0,4,1,-1,1,1,6505,20246,4034,3161,143494,4610,54109,871,105119,1894,3845,25627,1
29,30000,2,2,2,70,0,3,1,0,-1,2,18108,7223,14163,6137,29549,12367,38528,6007,4625,1659,25152,2311,0
30,80000,1,1,1,55,-2,0,0,1,0,0,8679,447,20647,21600,28991,316,57173,4124,1325,3115,37901,2966,0
31,30000,1,2,1,63,1,-1,8,5,1,3,11516,28689,110726,4614,6337,5805,22960,6946,147961,15018,95757,6392,0
32,150000,2,2,1,29,4,3,-1,0,1,-1,11884,5892,2455,1319,23998,12971,119649,5689,6329,942,7434,9931,1
33,80000,1,1,2,44,2,2,1,0,0,1,190633,3903,66322,660,67638,12710,75356,25854,79474,1213,60440,7825,0
34,300000,1,3,1,38,2,0,1,0,0,0,36854,6699,90225,5134,68767,10432,58752,3089,24224,5256,16875,6934,1
35,150000,1,2,1,64,2,0,-1,0,0,0,22294,5650,6673,545,43947,2650,6968,4769,59892,13024,100681,7442,1
36,20000,2,1,2,29,0,7,3,-1,2,1,58803,11867,42966,17378,8801,962,27964,1002,10273,23532,9002,3664,0
37,50000,2,1,1,73,-1,1,0,0,0,0,4962,15786,12465,12914,13394,5936,39352,6358,55473,1204,11509,7165,0
38,300000,1,2,1,58,0,-1,5,4,0,0,161369,2480,3955,2917,54387,43,36508,20211,43929,20206,185041,16705,0
39,20000,1,1,2,54,-1,-1,0,0,2,1,175773,2142,1462,3306,9753,10857,36371,16392,43760,3624,38984,203,0
40,300000,2,1,1,53,3,-1,4,2,0,0,33699,459,103661,7603,39501,8512,30992,10242,18461,13408,138766,5088,1
41,80000,1,2,0,24,0,1,0,0,0,1,35230,16664,33415,55,3426,7573,43591,10308,113840,7559,33357,18624,0
42,20000,2,1,2,40,2,-2,0,2,-1,0,48093,4611,27063,3725,194333,233,5976,427,76807,7447,32711,3618,1
43,50000,1,2,2,43,0,2,0,1,0,-1,9956,3471,10513,12116,9583,7817,11615,10710,47286,9838,48662,5358,0
44,150000,1,1,2,70,-1,0,0,1,0,1,13821,5274,86765,2360,1388,4344,103944,8748,40502,1292,94968,1919,0
45,200000,2,1,0,56,3,0,3,0,-1,-2,51335,29384,22245,5949,14736,1078,41850,9294,74208,5175,44581,14825,1
46,30000,1,1,1,46,2,2,0,-1,3,0,28423,9519,10737,4523,53978,872,32946,10411,45622,6824,54088,14763,0
47,10000,2,2,1,63,1,-1,2,1,-2,-1,12955,22951,105880,718,44310,9255,59568,889,38354,643,47548,22728,0
48,50000,2,2,2,21,-1,0,2,4,0,2,14675,6637,8591,12595,14424,15246,11460,1874,3674,2493,45827,25292,0
49,20000,1,2,1,59,0,0,0,1,0,0,13365,4334,19060,8322,18970,17466,26579,12588,61562,4346,7890,4204,0
50,200000,1,4,1,63,-1,-1,-1,5,1,3,52419,862,74604,2221,2972,7246,22111,50159,44311,2861,93984,16002,1
51,50000,2,1,1,52,3,0,2,-2,3,-1,18451,9020,82758,18909,9599,8880,9550,7422,59316,11933,88222,19169,0
52,20000,2,1,2,68,0,1,4,1,0,0,12565,5216,78091,2871,3446,1925,117908,11613,149,4325,58349,1006,1
53,100000,1,2,1,71,0,1,6,0,0,2,69485,660,45763,4964,29207,7494,88157,16366,21173,8335,18792,10538,1
54,100000,1,1,2,48,4,-1,0,0,4,0,131788,5491,18069,3642,12297,8816,242816,7086,19567,1115,24034,1460,0
55,50000,1,1,1,44,1,4,-1,0,-1,3,47101,5478,65126,5441,9989,5131,91352,9742,12121,24787,15970,281,1
56,100000,1,1,2,33,1,-1,-1,1,2,-1,46516,9731,70714,3095,96142,16966,68865,6333,68600,876,21590,9336,0
57,20000,2,2,2,53,2,1,1,0,-1,0,1420,17559,89400,8543,61392,13114,16914,1586,10454,1528,16250,714,0
58,20000,2,2,2,32,1,0,4,3,0,4,148779,9141,170732,6819,31760,810,24800,10007,79780,1255,40070,474,1
59,50000,1,3,2,53,0,1,-1,0,2,-2,80134,4761,3765,10614,111281,987,31010,9375,21229,1961,83844,10491,0
60,200000,2,2,3,34,-1,2,0,1,0,1,7207,17028,14082,5603,133698,5100,110872,694,32625,38975,71692,1015,0
61,150000,1,2,2,33,0,-1,1,-1,1,2,67119,7411,155955,9720,39775,1891,40482,3349,3805,7122,11008,18528,1
62,300000,2,2,1,68,-1,2,2,3,0,0,180357,6463,2787,5865,31166,13386,5216,4680,137725,1817,1495,4834,0
63,200000,2,1,2,57,0,-1,0,0,0,0,57128,13682,41884,907,68159,5615,92489,18741,23760,5964,31644,2304,0
64,80000,1,1,2,47,-2,0,-2,7,0,-1,55309,1491,62296,20762,31932,1117,31989,5750,59431,7922,4008,12056,0
65,20000,1,3,1,24,0,0,-1,0,4,2,57570,26749,32678,330,30671,115,17384,2141,161931,3123,63093,4630,0
66,80000,1,1,1,24,-1,0,-1,0,1,0,24279,5378,68775,2287,41233,9694,251643,4005,33307,36251,16768,4495,0
67,200000,1,1,1,60,-1,-1,0,1,-2,1,72158,7102,3829,10084,65744,3295,17510,7275,29681,5097,30107,5858,1
